+-------+------------------------+---------------------+----------------+------------------+-----------+--------------------------+-----------------+-------------------------+-----------------------+------------------------+
| dbms  | TABLE_SCHEMA           | TABLE_NAME          | COLUMN_NAME    | ORDINAL_POSITION | DATA_TYPE | CHARACTER_MAXIMUM_LENGTH | CONSTRAINT_TYPE | REFERENCED_TABLE_SCHEMA | REFERENCED_TABLE_NAME | REFERENCED_COLUMN_NAME |
+-------+------------------------+---------------------+----------------+------------------+-----------+--------------------------+-----------------+-------------------------+-----------------------+------------------------+
| mysql | sandbox_db | client              | C_Email        |                4 | varchar   |                      255 | UNIQUE          | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_FirstName    |                5 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_LastName     |                6 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_MiddleName   |                7 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_Password     |                3 | varchar   |                      100 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | client              | C_Username     |                2 | varchar   |                       50 | UNIQUE          | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | C_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_Degree      |                4 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_EndDate     |                7 | date      |                     NULL | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_Field       |                5 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_School      |                3 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | education           | ED_StartDate   |                6 | date      |                     NULL | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | sociallinks         | C_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | sociallinks         | SL_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | sociallinks         | SL_Link        |                3 | varchar   |                      255 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | sociallinks         | SL_Type        |                4 | enum      |                        9 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | entrepreneur        | E_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | entrepreneur        | E_ID           |                1 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | entrepreneurcompany | E_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | entrepreneur          | E_ID                   |
| mysql | db_42y45tk5c_42ybqdads | entrepreneurcompany | EC_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | entrepreneurcompany | EC_Name        |                3 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | developer           | D_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | developer           | D_ID           |                1 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | client                | C_ID                   |
| mysql | db_42y45tk5c_42ybqdads | developertechnology | D_ID           |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | developer             | D_ID                   |
| mysql | db_42y45tk5c_42ybqdads | developertechnology | DT_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | developertechnology | DT_Name        |                3 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_Auth_Level   |                8 | int       |                     NULL | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_Email        |                4 | varchar   |                      255 | UNIQUE          | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_FirstName    |                5 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_LastName     |                6 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_MiddleName   |                7 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_Password     |                3 | varchar   |                      100 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | admin               | A_Username     |                2 | varchar   |                       50 | UNIQUE          | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | message             | M_Description  |                2 | text      |                    65535 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | message             | M_File         |                3 | blob      |                    65535 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | message             | M_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | project             | PR_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | project             | PR_Name        |                2 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | project             | PR_Role        |                3 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | task                | PR_ID          |                6 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | project               | PR_ID                  |
| mysql | db_42y45tk5c_42ybqdads | task                | T_Deadline     |                4 | date      |                     NULL | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | task                | T_Description  |                3 | text      |                    65535 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | task                | T_ID           |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | task                | T_Name         |                2 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | task                | T_Status       |                5 | enum      |                       11 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | tag                 | PR_ID          |                3 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | project               | PR_ID                  |
| mysql | db_42y45tk5c_42ybqdads | tag                 | TA_ID          |                1 | int       |                     NULL | PRIMARY KEY     | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | tag                 | TA_Name        |                2 | varchar   |                       50 | NULL            | NULL                    | NULL                  | NULL                   |
| mysql | db_42y45tk5c_42ybqdads | tagdetails          | TA_ID          |                2 | int       |                     NULL | FOREIGN KEY     | db_42y45tk5c_42ybqdads  | tag                   | TA_ID                  |
